merchant,category
pay goibibo gurgaon 23361 mcdonalds refe3b2c7,Travel
58688 gurgaon ola,Travel
69868 bbnow unknown txn mum,Groceries
myntra upi 1ed14c68,Shopping
star services water bill hyd,Others
vpa misc payment imps 80167,Others
utr meesho*5380,Shopping
spencers imps 80466,Groceries
Dish TV Recharge txn80032,Bills & Utilities
1mg upi 251e4285,Health & Medical
iocout ord2517,Fuel
pune 96954 cash withdrawal,Others
neft 1mg!9620 imps 95667,Health & Medical
CL tlt328,Fuel
28917 city plaza pune,Entertainment
pharmeasy_9918 imps 72755,Health & Medical
imps zee5 upi af16d05b,Entertainment
utr zmt-3856 upi 26e98fdb,Food & Dining
ola upi 55a7c59a,Travel
airrec ord9107,Bills & Utilities
dth recharge pos 17416,Bills & Utilities
gpay-1mgMedicines-8100,Health & Medical
vpa bookmyshow-5217 imps 69376,Entertainment
iocl pump imps 41365,Fuel
uber,Travel
jio postpaid pos 12932,Bills & Utilities
airrec ord8601,Bills & Utilities
zee5*576 pos 30293,Entertainment
bookmyshow,Entertainment
misc payment imps 46512,Others
sony liv#7464,Entertainment
utr more supermarket-2710 pos 61176,Groceries
vpa ola pos 91846,Travel
upi txn bookmyshow upi e52d984b,Entertainment
paytm ajio car wash,Services
rapido pos 1470,Travel
PakringFee#314,Others
transfer,Others
gpay-HouseCleaningService-2228,Services
Ajio txn69566,Shopping
spencers,Groceries
imps 98963 irctc urban mall,Services
fresh reliance upi 675ec2ba,Groceries
water bill-5638 upi 7ebc8d4a,Bills & Utilities
phonepe-FortisHospital-3055,Health & Medical
imps iocl pump@5314 imps 19437,Fuel
ola&4700 imps 57533,Travel
hospitl_854 max upi c3f27b52,Health & Medical
shell fuel imps 82120,Fuel
pn 1mg txn zmt,Health & Medical
blink go cab pos 66970,Travel
daily mart imps mcdonalds noida,Groceries
netflix upi 7d48c3b3,Entertainment
cafecoffee pos 61850,Food & Dining
ndg ntflx dl 53420,Travel
vpa mcdonldss,Food & Dining
paytm-McDonald's-7914,Food & Dining
unknown txn pos 16880,Others
swi ord2507,Food & Dining
KFC,Food & Dining
1mg imps 14679,Health & Medical
14695 brdbnd pn mps,Bills & Utilities
netflix imps 30514,Entertainment
general store upi 83988ff3,Others
pune ajio paytm,Shopping
cafe kol card 21552,Food & Dining
hotstar upi 8519a14c,Entertainment
shell fuel*3062,Fuel
iocl pump pos 99966,Fuel
iocl pump upi 1f71a48f,Fuel
43597 zmt vjywd rlnc rf,Others
phonepe barber upi 66561f14,Services
bpcl ptrl!2354 imps 21587,Fuel
mastercard *urbancompany116,Services
subway imps 43713,Food & Dining
ajio upi 8273e77b,Shopping
upi txn ajio/4310 imps 17711,Shopping
hotstar!4939 vpa imps 92176,Entertainment
ref81bbc6 pvr union services 17679 ref,Fuel
dmart neft,Groceries
car wash pune pay,Services
gift shop imps 39468,Others
pharmacy apollo,Health & Medical
upi txn pharmeasy/8247 imps 47093,Health & Medical
zmt imps 72236,Food & Dining
neft meesho pos 19151,Shopping
reliance fresh upi 2f31f034,Groceries
urban company imps 91037,Services
irctc upi d0932da4,Travel
grofers pos 36133,Groceries
Lcl Vndr Prchs330,Others
blink go cab@9546 imps 45563,Travel
electrician onepay 71910 unknown txn chennai,Services
iocl pump pos 58215,Fuel
jio postpaid txn upi,Bills & Utilities
cafecoffee pos 1044,Food & Dining
jio postpaid pos 40388,Bills & Utilities
nn srvcs gpy pn 59067,Entertainment
sony liv upi 31a8174e,Entertainment
TNB lctrcty Bll131,Bills & Utilities
INOX Movies txn58105,Entertainment
hindustan petrleum imps 14069,Fuel
mum express mart cash withdrawal upi 22614,Health & Medical
subway upi 4118db9c,Food & Dining
big bazaar pos 52364,Groceries
BkMyShw242,Entertainment
amazon prime imps 16334,Entertainment
neft max hospitl upi 3bd7ead6,Health & Medical
1mg_4267 neft pos 89635,Health & Medical
shell paytm plumber blr,Fuel
Jv yrvd584,Health & Medical
shell fuel upi 6b7a2bb8,Fuel
bigbasket%2045 pos 95925,Groceries
salon service pos 61648,Services
utr transfer imps 52669,Others
gpay shell fuel,Fuel
travelmart gpay del cash withdrawal,Bills & Utilities
CashWithdraawl#754,Others
House Cleaning Service txn39415,Services
jio postpaid upi 31f03ac0,Bills & Utilities
Cash Withdrawal txn51369,Others
airtel recharge gpay upi 17be3e79,Bills & Utilities
pump iocl imps 75361,Fuel
ola_3155 pos 43601,Travel
service-3266 ac imps 39391,Services
mcdonldss/4405 imps 57987,Food & Dining
pizza hut imps 40940,Food & Dining
hindustan petroleum,Fuel
irctc&560,Travel
mum 67992 petrol pump pay big bazaar,Fuel
hotstar imps 61719,Entertainment
water can delivery,Services
PVR Cinemas txn76607,Entertainment
house cleaning imps 42092,Services
spencers*1086,Groceries
car wash,Services
amazon,Shopping
HotstarPremimu#144,Entertainment
SalonServiec#158,Services
ShlelFuelCentre#516,Fuel
cafecoffee upi 0451865a,Food & Dining
paytm-SalonService-4053,Services
blr vndr pymnt py lcl krn,Groceries
mm 26831 nknwn txn,Others
zee5 upi 63cc2e3a,Entertainment
petrl bpcl upi d81830c8,Fuel
uber pos 79914,Travel
zmt,Food & Dining
gas bill_2289 pos 93840,Bills & Utilities
max hospital upi 462f32fc,Health & Medical
pll Phrmcy150,Health & Medical
kol cafe apna mart 4975,Others
gift shop imps 42600,Others
paytm ola,Travel
20918 nknwn txn crd grgn,Others
uber imps 73835,Travel
1mg@9379 pos 70360,Health & Medical
irctc upi d0932da4,Travel
can delivery water upi b4d40ba9,Services
water bill upi 81b5164a,Bills & Utilities
mm 46966 p brdbnd,Bills & Utilities
plumber express mart kfc reffdc649 card pune,Services
hindustan petroleum imps 71305,Fuel
21515 onepay chennai uber pay,Entertainment
gpay blink go cab@1307,Travel
neft shop gift imps 88197,Others
gpay big bazaar imps 76353,Groceries
TataCliq txn62000,Shopping
water can delivery pos 26866,Services
sony liv,Entertainment
shell fuel pos 14304,Fuel
hpcl pump_4175 imps 63548,Fuel
house cleaning&4711,Services
utr hotel saravana*5426 pos 93074,Food & Dining
gas bill upi c9645fcd,Bills & Utilities
barber,Services
PharmaEsy#535,Health & Medical
barber imps 12054,Services
green fresh upi urban company chennai 54284,Shopping
transfer imps 99496,Others
87452 gpay cafe mum spotify,Food & Dining
urban company imps 54765,Services
amaon*2361,Shopping
bigbasket pos 54420,Groceries
Prkng F592,Others
imps bigbasket_7353 imps 88769,Groceries
phonepe airtel recharge@9513 upi 4cc1b590,Bills & Utilities
myntra pos 24306,Shopping
salon service upi 047cf854,Services
card chennai green fresh 26421,Services
unknown txn upi 002ca3a0,Others
phonepe zomato45,Food & Dining
INOX Movies txn56737,Entertainment
deb card jiofiberbill3150,Bills & Utilities
zomato imps 84237,Food & Dining
cafecoffee&8651 imps 85964,Food & Dining
electricity bill imps 99138,Bills & Utilities
Ola Cabs txn35205,Travel
paytm pharmeasy!7092 upi 3128f598,Health & Medical
bigbasket upi a3af3f21,Groceries
pay 45077 star services vijayawada,Food & Dining
fuel shell upi 13dc6af7,Fuel
vpa hotel saravana pos 56830,Food & Dining
netsub ord1370,Entertainment
bigbasket pos 92525,Groceries
barber,Services
meesho,Shopping
dmart,Groceries
vijayawada parking fee gpay amazon 55936,Others
gas bill imps 83239,Bills & Utilities
gpay tata cliq pos 6879,Shopping
more supermarket pos 14899,Groceries
mastercard *generalstore2988,Others
vpa electricity bill!6028 pos 53005,Bills & Utilities
pharmeasy upi 04e09c37,Health & Medical
upi txn transfer pos 44686,Others
amazon prime pos 42914,Entertainment
Parking Fee txn61042,Others
air india imps 32868,Travel
misc payment imps 16402,Others
amaon vpa,Shopping
paytm burger king pos 19255,Food & Dining
gpay-VasanEyeCare-1907,Health & Medical
neft medplus,Health & Medical
barber%6208 upi 1f70d589,Services
misc payment upi 16840b91,Others
72387 vijayawada union services,Travel
Subway txn94302,Food & Dining
mum green fresh 39498 txn,Groceries
mzn trvlmrt rf74891d pvr rf 36686,Shopping
dominos-6948 upi 321e5dca,Food & Dining
netflix urban company 79581 mum ord,Entertainment
urban company amazon pay hyd 57829,Services
sony liv pos 88148,Entertainment
spo ord2673,Entertainment
utr barber/1880 imps 71570,Services
cafecoffee imps 25947,Food & Dining
McDnld's536,Food & Dining
payment misc upi 3cb5f979,Others
aji ord2279,Shopping
upi txn urban company,Services
recharge dth upi 3e02542e,Bills & Utilities
cafecoffee pos 72259,Food & Dining
myntra,Shopping
iocl pump imps 79520,Fuel
uber upi ee9e65f0,Travel
phonepe ajio-9818 pos 64312,Shopping
pune myntra dominos imps,Shopping
ola,Travel
ref67bd46 85848 apna mart bookmyshow,Travel
ajio@7003 imps 54964,Shopping
utr max hsptl imps 20715,Health & Medical
utr bpcl ptrl-8674 imps 15258,Fuel
airtel recharge pos 18270,Bills & Utilities
BPCL Pump txn53183,Fuel
city plaza airtel refe48d0b chennai 82094,Groceries
go utr cab@9882 blink,Travel
big bazaar imps 57804,Groceries
local kirana gpay paymart chennai,Entertainment
73711 vndr pymnt rd kl ptrl pmp nn srvcs,Fuel
gpay water bill imps 91321,Bills & Utilities
gift shop,Others
hotel saravana imps 20948,Food & Dining
gpay uber upi 6af6b199,Travel
ChaiPoitn#576,Food & Dining
gpay uber pos 82823,Travel
netflix upi 7d48c3b3,Entertainment
decathlon,Shopping
visa *bigbasket4480,Groceries
ApollohParmacy#595,Health & Medical
misc payment upi 45d20ea0,Others
blink go cab pos 44197,Travel
Unknown Transaction,Others
bbnow gurgaon fastlane 57088 imps,Entertainment
electricity bill/1296,Bills & Utilities
ntflx nd ndg,Entertainment
indigo airlines upi eb8daef3,Travel
gensto ord5250,Others
ajio upi 048f1b2a,Shopping
87933 redbus blr ord,Travel
sony liv pos 12037,Entertainment
imps zmto&850,Food & Dining
gpay air india upi e55275f1,Travel
max hospital imps 76677,Health & Medical
medplus,Health & Medical
pizza hut imps 42833,Food & Dining
imps sggy,Food & Dining
salon service pos 61648,Services
kol water bill 53466,Bills & Utilities
payment to jivaayurveda9616,Health & Medical
pizza hut!4322 imps 27125,Food & Dining
urban company upi 3c6a2464,Services
medplus,Health & Medical
meesho pos 42978,Shopping
paytm airtel recharge upi e1eb37be,Bills & Utilities
Dish TV Recharge txn29272,Bills & Utilities
upi txn zoma@160 upi 7880448b,Food & Dining
airtel recharge pos 89537,Bills & Utilities
unknown txn upi dc5698e1,Others
apollo pharmacy_7997 gpay pos 69983,Health & Medical
clinic mum 84333 ref6de1e0,Health & Medical
vpa general store,Others
vijayawada pos starbucks clinic 68334,Food & Dining
netflix,Entertainment
56369 rlnc frsh bhrt ptrlm glbl strs kl txn,Fuel
unktra ord6672,Others
rdbs 4377 dl clnc,Travel
rapido@4204 imps 24094,Travel
paytm hyd dominos 39213 irctc,Travel
sony liv upi 38fb7ead,Entertainment
TNEB Electricity Bill txn4703,Bills & Utilities
broadband blr cash withdrawal urban mall pay,Others
car wash pos bharat petroleum omni corp 23783,Fuel
gas bill upi 8a1d4d8f,Bills & Utilities
subway pos 94510,Food & Dining
dth recharge upi e154a947,Bills & Utilities
upi txn urban company&427 pos 18058,Services
unknown txn imps 33303,Others
nknwn Trnsctn638,Others
hotstar&9898 upi e005e165,Entertainment
bookmyshow pos 66851,Entertainment
apollo pharmacy imps 15657,Health & Medical
phonepe reliance fresh imps 50113,Groceries
dominos 1185 card blr,Food & Dining
gas bill pos 41919,Bills & Utilities
vpa gas bill_9069 imps 46419,Bills & Utilities
gpay-JioFiberBill-8176,Bills & Utilities
mcdnlds_6709 upi 44823d49,Food & Dining
clinic onepay paytm ajio,Health & Medical
amazon prime upi c90e2285,Entertainment
cafecoffee upi f785a4fe,Food & Dining
35050 prm mrt vjywd brgr kng,Groceries
misc payment imps 46512,Others
phonepe misc payment imps 63567,Others
dmart green fresh noida 46241,Groceries
ndnl Fl Sttn396,Fuel
86363 mps kl cty plz,Others
blink go cab,Travel
zee5,Entertainment
ac service pos 38944,Services
indigo shell travelmart del 90745,Fuel
bpcl ptrl/8829,Fuel
phonepe pizza hut@8544,Food & Dining
gpay-HouseCleaningService-2370,Services
irctc,Travel
kol nykaa 54670 misc payment,Shopping
pharmeasy&4513 imps 94506,Health & Medical
54291 jio mart paymart ord blr,Groceries
netflix upi 9805f7c1,Entertainment
iocl pump imps 50929,Fuel
barber*9751 imps upi fca1f632,Services
iocl pump pos 59103,Fuel
air india pos 44827,Travel
dmart pos 88704,Groceries
phonepe burger king%9563,Food & Dining
pharmacy-2214 apollo,Health & Medical
iocl pump,Fuel
kl mzn crd,Shopping
neft airtel recharge pos 87456,Bills & Utilities
travelmart nykaa vijayawada ref 46112 ref9a66bd,Services
imps sony liv/4629 imps 56519,Entertainment
pharmeasy,Health & Medical
meesho imps 27468,Shopping
car wash 62592 zomato ref,Food & Dining
imps pune metro redbus 50053,Entertainment
GeneraltSore#124,Others
zee5 pos 40520,Entertainment
99147 c rpr mps,Services
vpa blink go cab,Travel
upi txn barber upi 8815769c,Services
neft store_6494 general pos 90081,Others
hpcl pump imps 29475,Fuel
electricity bill imps 37903,Bills & Utilities
gurgaon netflix star services 83174 ord,Entertainment
gpy sln grn frsh,Services
visa *irctc9355,Travel
clinic dmart express mart 54546 pay,Groceries
flipkart,Shopping
imps gas bill upi 0cd201ea,Bills & Utilities
pay reliance,Others
zee5 pos 51155,Entertainment
iocl pump imps 55884,Fuel
flipkart upi ce1876a9,Shopping
cafecoffee pos 72259,Food & Dining
gas bill,Bills & Utilities
meesho imps 66714,Shopping
phonepe 1mgmedicines5419,Health & Medical
gift shop upi 058bd038,Others
mcdonalds ac repair 25259 ord,Services
hpcl pump pos 48078,Fuel
mcdonalds mum ref,Food & Dining
transfer pos 3268,Others
vijayawada bharat petroleum urban mall bbnow ord 69418,Fuel
ama ord5127,Shopping
92553 pvr uber mum pos,Entertainment
electricity bill pos 60246,Bills & Utilities
pvr noida metro ticket,Travel
decathlon,Shopping
irctc upi 70b15cdc,Travel
phonepe kfc/4280 pos 92149,Food & Dining
phonepe zmto,Food & Dining
unknown txn upi 71b0984e,Others
rbn Cmpny336,Services
misc payment imps 50871,Others
c rpr nd,Services
gpay spencers&2392 imps 24402,Groceries
ajio upi e07fb9fa,Shopping
phonepe-Amazon-5081,Shopping
1mg Mdcns946,Health & Medical
swiggy upi 5814d9f1,Food & Dining
mcdonalds pos 48785,Food & Dining
hpcl pump&4747 pos 95098,Fuel
zee5 upi 2805238b,Entertainment
urban company,Services
phonepe pizza hut*3419 imps 25360,Food & Dining
neft barber upi 17a05f4e,Services
Electrician Services txn52126,Services
hindustan petroleum upi 3ff51605,Fuel
zomato upi dffbc14d,Food & Dining
hyd swggy clnc rf 6775,Food & Dining
27052 rf694f7 mm cr wsh brgr kng,Food & Dining
ac service imps 85902,Services
neft flpcrt,Shopping
dmart pos 83278,Groceries
bigbasket upi f5ffa8ab,Groceries
salon service pos 89393,Services
house cleaning imps 92349,Services
pay 86431 ref0f569d uber omni corp,Travel
hindustan petreum pos 71899,Fuel
Dish TV Recharge,Bills & Utilities
gurgaon bigbasket 97550 paytm onepay,Groceries
sony liv pos 4277,Entertainment
air india imps 65756,Travel
pos noida petrol pump omni corp,Fuel
nknwn Trnsctn917,Others
vpa myntra imps 14113,Shopping
zee5 imps 49653,Entertainment
netflix imps 43852,Entertainment
phonepe electricity bill&3345 imps 23245,Bills & Utilities
43637 lcl krn txn,Groceries
bookmyshow imps 39370,Entertainment
phonepe misc payment imps 34935,Others
upi txn zee5 upi 6e4281ee,Entertainment
blink go cab imps 50589,Travel
hindustan petroleum imps 61752,Fuel
irctc imps 24498,Travel
90087 imps apollo gurgaon onepay,Health & Medical
vpa ac service upi 6a68ad19,Services
49606 trvlmrt nd rf2d7b43,Fuel
petrol pump city plaza pay bbnow chennai 32398,Fuel
hpcl pump pos 92954,Fuel
flipkart imps 48950,Shopping
vpa kfc imps 35321,Food & Dining
zee5 pos 92320,Entertainment
hindustan petrleum imps 14069,Fuel
salon service,Services
pune dominos imps water bill,Food & Dining
paytm cafecoffee,Food & Dining
neft gas bill,Bills & Utilities
gpy hyd vndr pymnt 95391 prm vd,Others
paytm-StarBazaar-1521,Groceries
phonepe uber_8266 upi 606cc76d,Travel
INOX Movies txn70688,Entertainment
neft shell fuel imps 18835,Fuel
big bazaar imps 24074,Groceries
iocl pump@2339 imps 61582,Fuel
bigbasket imps 25111,Groceries
reliance fresh,Groceries
irctc#2369 upi 943e016b,Travel
Bg Bzr977,Groceries
chnn mtr tckt rd 34071,Travel
misc payment pune 30613 union services,Bills & Utilities
urban company,Services
utr cafecoffee@9973 upi 121c472a,Food & Dining
zomato union services 63343 pay water bill kol,Food & Dining
hotstar upi 0ec6eb69,Entertainment
amz prime!3868 pos 29863,Entertainment
flpcrt-7057 upi 4b7cefca,Shopping
pAolloPharmacy#329,Health & Medical
more supermarket upi 1094af01,Groceries
gpay-BookMyShow-6358,Entertainment
phonepe max hospitl-1781 imps 74444,Health & Medical
imps amzn prime/5663 pos 33383,Entertainment
Big Bazaar txn98080,Groceries
upi 23597 kol dth,Bills & Utilities
barber pos 14172,Services
burger king pos 70822,Food & Dining
Fortis Hospital txn38672,Health & Medical
transfer,Others
upi txn medplus,Health & Medical
ReilanceFresh#848,Groceries
electricity bill del cash withdrawal txn,Others
pharmeasy imps 92674,Health & Medical
hindustan petroleum,Fuel
phonepe hindustan ptrleum pos 36222,Fuel
gpay-RapidoBikeTaxi-5034,Travel
vpa dominos upi 23defbdf,Food & Dining
salon service@7451,Services
bpcl petr/9927 pos 51446,Fuel
shell fuel@9196 neft upi 1bd437b2,Fuel
vpa mcds%6482 imps 97399,Food & Dining
chnn 77477 rf dth pn mrt,Bills & Utilities
neft medplus upi 0a50832b,Health & Medical
sony liv%591 imps 42919,Entertainment
tata cliq!3684 upi 1555b768,Shopping
ref1e4d34 txn fuel station prime video star services,Entertainment
myntra imps 71607,Shopping
misc payment_549,Others
irctc 485 city plaza,Entertainment
iocl 91759 blr imps,Fuel
1mg imps 64977,Health & Medical
spencers,Groceries
hotstar,Entertainment
travelmart 6964 del paytm,Groceries
apollo pharmacy upi 2edecf76,Health & Medical
apollo pharmacy upi dd0a08bb,Health & Medical
pune upi parking fee travelmart 64204 prime video,Others
phonepe burger king%9563,Food & Dining
imps bookmyshow pos 25719,Entertainment
house cleaning&4711,Services
urban company imps 69073,Services
myntra,Shopping
paytm hotel saravana%7912 imps 32142,Food & Dining
tata cliq,Shopping
gpay air india,Travel
ajio pos 14590,Shopping
pharmeasy imps 19056,Health & Medical
phonepe medplus1778,Health & Medical
ajio,Shopping
1mg-6798,Health & Medical
ac service upi 8f360499,Services
PVR Cinemas txn80668,Entertainment
water bill-8424,Bills & Utilities
prime amz upi 6585f582,Entertainment
hpcl pump imps 70137,Fuel
vpa big bazaar!3741 pos 74174,Groceries
unknown txn,Others
bbnow reliance fresh 20000 pune gpay,Groceries
amazon pos 81005,Shopping
big vpa bazaar imps 67454,Groceries
ord blr kfc omni corp jio mart,Food & Dining
UberRidse#251,Travel
irctc upi d0932da4,Travel
mm 19249 lctrcty bll ps,Bills & Utilities
pos bookmyshow vijayawada,Entertainment
green fresh ref hyd,Groceries
tata cliq upi eb7a158e,Shopping
fuel shell upi 13dc6af7,Fuel
imps gurgaon 200 cash withdrawal gas bill daily mart,Bills & Utilities
meesho upi 80c67ca0,Shopping
bgbskt dl 65905 prm vd cty plz,Entertainment
hindustan petroleum,Fuel
unknown txn,Others
spencers upi 0d864910,Groceries
zee5 upi f6e253f6,Entertainment
mum apollo 12719 amazon daily mart,Shopping
pay shell dominos blr 14338,Food & Dining
iocl pump upi 04244299,Fuel
max hspitl gpay upi 03781588,Health & Medical
gpay-Ajio-8618,Shopping
paytm vendor payment 91322 unknown txn kol,Others
zee5 imps 49653,Entertainment
vendor payment gurgaon upi unknown txn,Others
bigbasket upi 8ac86162,Groceries
green fresh vijayawada paytm refed7102 80186,Services
29975 dominos bookmyshow prime mart,Entertainment
max hospital pos 33110,Health & Medical
neft flpcrt,Shopping
hpcl pump upi e9fca0ee,Fuel
24836 blr flipkart pos,Shopping
air india imps 32014,Travel
flipkrt pos 59053,Shopping
mcdonalds pos 52724,Food & Dining
TataCliq txn17455,Shopping
ajio%4415 imps 54827,Shopping
67150 ref2f6725 fastlane,Entertainment
dmart upi bd3df29a,Groceries
gas bill*193,Bills & Utilities
starbucks apna mart blr ord,Food & Dining
phonepe dth recharge#5936 imps 68340,Bills & Utilities
shop gift imps,Others
C Rpr Srvc694,Services
phonepe-BPCLPump-4731,Fuel
gpay petreum_2856 hindustan imps 36849,Fuel
neft shell fuel imps 29961,Fuel
paytm-ParkingFee-3652,Others
amazon omni corp 1mg 7799 upi,Shopping
decathlon mum pos clinic,Health & Medical
shell fuel,Fuel
tat ord6259,Shopping
neft max hospitl pos 20175,Health & Medical
salon service#9436 upi 6da527e7,Services
bookmyshow imps 75384,Entertainment
salon service@7451,Services
bigbasket imps 62332,Groceries
electricity bill imps 99551,Bills & Utilities
ps nd j glbl strs,Bills & Utilities
neft reliance fresh pos 97036,Groceries
zomato imps 65404,Food & Dining
45519 netflix decathlon upi,Shopping
Fortis Hospital,Health & Medical
ac service pos 38944,Services
mum 608 swiggy,Food & Dining
mum paytm bookmyshow,Entertainment
dth recharge imps 37852,Bills & Utilities
RelianecFresh#577,Groceries
1mg,Health & Medical
dth recharge*1649 imps 87349,Bills & Utilities
pharmeasy pos 83031,Health & Medical
1mg pos 19939,Health & Medical
ajio,Shopping
paytm amz#1747,Shopping
ref632f6f pay noida green fresh 58855 1mg,Groceries
imps bpcl ptrl*3298 upi dbe9c982,Fuel
car wash pay 63321,Services
payment to hppetrolpump3256,Fuel
water bill pos 38446,Bills & Utilities
gurgaon onepay 79389 pos metro ticket,Food & Dining
general vpa store imps 53208,Others
ord apollo 7433,Health & Medical
pizza hut upi 92ee5dc9,Food & Dining
amazon upi 5f168d65,Shopping
recharge-1471 airtel,Bills & Utilities
mcdonalds pos 60389,Food & Dining
3040 gpay green fresh chennai,Health & Medical
del 59091 fuel station plumber pos,Services
salon service%3148 imps 42609,Services
amazon upi 1c00d119,Shopping
77473 gurgaon hpcl quickpay,Entertainment
bkmyshw 40654 py,Entertainment
house cleaning pos 65983,Services
amazon prime,Entertainment
neft mcdonldss pos 64071,Food & Dining
myn ord8705,Shopping
sony liv#3785 pos 29666,Entertainment
gpay apollo pharmacy#4236,Health & Medical
ac service pos 29183,Services
mm sptfy bbnw 2985,Groceries
hpcl pump pos 59297,Fuel
transfer imps 51927,Others
phonepe blink go cab%5779 pos 80634,Travel
amazon prime upi 767ab2b2,Entertainment
water bill&1983 imps 45500,Bills & Utilities
indigo airlines imps 19028,Travel
decathlon,Shopping
zee5 pos 14133,Entertainment
utr dmart@3293 upi fb856cc0,Groceries
airlines indigo,Travel
neft amz imps 88426,Shopping
gpay-Decathlon-218,Shopping
parking fee prime mart pvr ref pune 32277,Others
rd xprss mrt pn,Fuel
blr electrician txn 53852,Services
gpay transfer pos 53105,Others
iocl pump pos 27784,Fuel
vpa max hsptl,Health & Medical
big vpa bazaar imps 67454,Groceries
paytm-SonyLiv-1880,Entertainment
Bg Bzr890,Groceries
kfc imps 36069,Food & Dining
HP Petrol Pump,Fuel
unknown txn imps 99398,Others
fastlane chennai gpay 48633 netflix,Entertainment
unknown txn imps 60667,Others
big bazaar upi b4239126,Groceries
upi txn amaon imps 44357,Shopping
bigbasket,Groceries
phonepe airtel recharge#7461 pos 94984,Bills & Utilities
meesho imps 17071,Shopping
gpay big bazaar&6597 pos 12094,Groceries
airtel recharge pos 99782,Bills & Utilities
king burger imps 37674,Food & Dining
shell card pvr chennai,Entertainment
kol 15571 decathlon plumber union services pay,Services
ajio upi 8273e77b,Shopping
blink go cab!8034 pos 72835,Travel
hotstar/8321 upi 01b8eaad,Entertainment
imps meesho&374 upi b80fa7f7,Shopping
jio postpaid upi 1677886b,Bills & Utilities
vpa hotel saravana pos 56830,Food & Dining
79599 ref70f2f9 chennai pharmeasy upi,Health & Medical
hindustan petroleum,Fuel
gas bill upi a3baaf0f,Bills & Utilities
vpa dth recharge pos 15834,Bills & Utilities
noida 94058 jio ref4bc5d8,Bills & Utilities
ola%9612,Travel
bpcl petrol imps 13868,Fuel
indigo airlines pos 23328,Travel
iocl pump/767 upi 7f8c4bb5,Fuel
phonepe dominos#547,Food & Dining
fastlane 42879 txn,Groceries
medplus_741,Health & Medical
gas bill upi 985e5d0f,Bills & Utilities
electricity bill&9067 upi d2c0ef36,Bills & Utilities
Ntflx Sbscrptn99,Entertainment
apollo pharmacy vpa,Health & Medical
vijayawada dominos union services 31830 goibibo,Food & Dining
indigo airlines pos 46004,Travel
pvr apna mart ref12c7b7 77131,Food & Dining
meesho pos 50485,Shopping
general store imps 25251,Others
zee5 imps 41540,Entertainment
neft rapido/2558,Travel
pharmacy apollo,Health & Medical
netflix imps 31569,Entertainment
vpa water bill,Bills & Utilities
