merchant,category
-DMart#638,Groceries
Airtel Recharge txn31182,Bills & Utilities
paytm-MiscPayment-9528,Others
Hs Clnng Srvc210,Services
gpay-BigBazaar-5082,Groceries
paytm-INOXMovies-2150,Entertainment
AirInida#532,Travel
pll Phrmcy150,Health & Medical
phonepe-IOCLOutlet-6737,Fuel
PrakingFee#431,Others
LocalVendorPruchase#574,Others
upi txn spotify2416,Entertainment
Rapido Bike Taxi txn58947,Travel
gpay-BPCLPump-5599,Fuel
received from nykaa1286,Shopping
airrec ord5133,Bills & Utilities
phonepe-FortisHospital-5250,Health & Medical
Rapido Bike Taxi txn93090,Travel
GeneraltSore#124,Others
ElectricianServiecs#114,Services
jivayu ord3184,Health & Medical
gpay-UnknownTransaction-6620,Others
Rapido Bike Taxi txn88340,Travel
apopha ord7275,Health & Medical
BPCL Pmp576,Fuel
Rpd Bk Tx24,Travel
gpay-GeneralStore-176,Others
trf#unknowntransaction8536,Others
paytm shellfuelcentre3527,Fuel
IndiGoArilines#396,Travel
paytm-ParkingFee-9504,Others
Str Bzr49,Groceries
RCTC211,Travel
IOCLOultet#803,Fuel
phonepe-TataCliq-2415,Shopping
paytm-BigBasket-5049,Groceries
phonepe-NetflixSubscription-3693,Entertainment
UnknownTrnasaction#203,Others
IndianOilFuleStation#598,Fuel
gpay-Nykaa-8544,Shopping
aBrbequeNation#806,Food & Dining
upi txn hppetrolpump1082,Fuel
KFC#332,Food & Dining
paytm-BigBasket-1792,Groceries
Msc Pymnt258,Others
utr#hotstarpremium2177,Entertainment
Rapido Bike Taxi txn42573,Travel
UrbanCopmany#771,Services
gpay-SalonService-3418,Services
Vasan Eye Care txn5634,Health & Medical
mispay ord1090,Others
BgiBasket#231,Groceries
Jiva Ayurveda txn39455,Health & Medical
paytm-D-Mart-6621,Groceries
gpay-BPCLPump-9325,Fuel
trf#barbequenation8655,Food & Dining
JivaAyuvreda#832,Health & Medical
Vasan Eye Care txn47865,Health & Medical
upi txn mcdonald's2506,Food & Dining
IndianOilFeulStation#844,Fuel
Bg Bzr977,Groceries
phonepe-BPCLPump-1227,Fuel
Car Wash Service txn56652,Services
lctrcn Srvcs328,Services
swi ord2533,Food & Dining
imps carwashservice3751,Services
paytm-ACRepairService-8927,Services
phonepe-AirIndia-6027,Travel
Strbcks668,Food & Dining
GeneraltSore#698,Others
gensto ord5250,Others
Csh Wthdrwl669,Others
trf#redbus3216,Travel
kfc ord9934,Food & Dining
gpay-Amazon-8001,Shopping
Dominos'Pizza#921,Food & Dining
pos id#salonservice9990,Services
Flipkart txn79172,Shopping
utr#spencer's434,Groceries
gpay-IndianOilFuelStation-9092,Fuel
BookMyShow txn6733,Entertainment
jivayu ord6544,Health & Medical
utr#indianoilfuelstation8632,Fuel
ApolloPharamcy#764,Health & Medical
Gas Cylinder Booking txn91241,Bills & Utilities
d-m ord9795,Groceries
TNEBElcetricityBill#539,Bills & Utilities
paytm spencer's8447,Groceries
pha ord1655,Health & Medical
deb card cashwithdrawal9800,Others
Zomaot#489,Food & Dining
card *barbequenation8066,Food & Dining
stabaz ord5555,Groceries
upi txn fortishospital4653,Health & Medical
Car Wash Service txn38839,Services
unktra ord1953,Others
Spenecr's#686,Groceries
paytm-StarBazaar-1129,Groceries
Rapido Bike Taxi txn84447,Travel
pvrcin ord7102,Entertainment
PrakingFee#814,Others
UnknownTransactoin#905,Others
PharmaEsy#535,Health & Medical
RCTC534,Travel
upi txn gascylinderbooking968,Bills & Utilities
received from carwashservice7746,Services
SonyiLv#613,Entertainment
indfuest ord6608,Fuel
aji ord2072,Shopping
phonepe-JioMartGrocery-6941,Groceries
Wtr Brd Pymnt663,Bills & Utilities
ord#flipkart6658,Shopping
irc ord5780,Travel
Crm Rtl543,Shopping
sub ord1502,Food & Dining
upi txn vasaneyecare9814,Health & Medical
Phrmsy351,Health & Medical
jiogro ord8039,Groceries
iocout ord9577,Fuel
paytm-VasanEyeCare-3345,Health & Medical
airind ord4369,Travel
lctrcn Srvcs129,Services
SalonServiec#158,Services
AirtleRecharge#813,Bills & Utilities
forhos ord4660,Health & Medical
phonepe-Flipkart-3826,Shopping
unktra ord415,Others
sub ord9570,Food & Dining
gpay-ChaiPoint-9913,Food & Dining
Local Vendor Purchase txn51600,Others
jAio#897,Shopping
mastercard *indianoilfuelstation9837,Fuel
ord#irctc9339,Travel
received from pharmeasy7800,Health & Medical
Misc Payment txn24264,Others
StarBaazar#208,Groceries
ama ord2864,Shopping
ShellFeulCentre#514,Fuel
netsub ord7131,Entertainment
gpay-BookMyShow-6358,Entertainment
ndG rlns334,Travel
VasaEnyeCare#212,Health & Medical
SonyLiv txn69618,Entertainment
gpay cashwithdrawal121,Others
WaterBoadrPayment#663,Bills & Utilities
paytm-ShellFuelCentre-4085,Fuel
HP Petrol Pump txn3587,Fuel
BurgerKnig#925,Food & Dining
Misc Payment txn98946,Others
phonepe-TNEBElectricityBill-9502,Bills & Utilities
bigbaz ord257,Groceries
payment to dishtvrecharge8908,Bills & Utilities
phonepe waterboardpayment1053,Bills & Utilities
nknwn Trnsctn638,Others
bigbaz ord3435,Groceries
PakringFee#314,Others
IndiGo Airlines txn9601,Travel
lctrcn Srvcs795,Services
salser ord929,Services
j191,Shopping
sub ord4555,Food & Dining
pos id#shellfuelcentre2528,Fuel
phonepe medplus1778,Health & Medical
gascylbo ord8236,Bills & Utilities
HPPetrolPump#922,Fuel
paytm-ElectricianServices-9355,Services
distvrec ord2870,Bills & Utilities
PVR Cinemas txn19463,Entertainment
netsub ord8124,Entertainment
JioMart Grocery txn10634,Groceries
GasCylinderBooikng#243,Bills & Utilities
rapbikta ord4316,Travel
salser ord352,Services
Water Board Payment txn97469,Bills & Utilities
Htstr Prmm441,Entertainment
HPPetrolPump#122,Fuel
Dcthln976,Shopping
gpay shellfuelcentre1775,Fuel
paytm-UberRides-2045,Travel
pSotify#254,Entertainment
croret ord5324,Shopping
Bg Bzr677,Groceries
imps unknowntransaction7349,Others
Car Wash Service txn41842,Services
spo ord2673,Entertainment
phonepe-SonyLiv-1733,Entertainment
paytm-PVRCinemas-1975,Entertainment
paytm-DishTVRecharge-1486,Bills & Utilities
d-m ord3569,Groceries
watboapa ord3582,Bills & Utilities
gpay-RelianceFresh-8709,Groceries
imps ajio3332,Shopping
gpay-UberRides-1489,Travel
MedPlus txn72654,Health & Medical
Mynrta#746,Shopping
IndianOilFuleStation#400,Fuel
phonepe-StarBazaar-8209,Groceries
ref no#jivaayurveda1241,Health & Medical
1mgmed ord997,Health & Medical
Spncr's788,Groceries
urbcom ord8516,Services
received from urbancompany6581,Services
NX Mvs471,Entertainment
McDnld's542,Food & Dining
phonepe-LocalVendorPurchase-787,Others
Gas Cylinder Booking txn30573,Bills & Utilities
CarWashServcie#273,Services
Amazon txn63294,Shopping
Ajio txn86082,Shopping
IndiGo Airlines txn84021,Travel
Domino's Pizza txn65764,Food & Dining
Air India txn79275,Travel
Misc Payment txn52592,Others
morsup ord8509,Groceries
paytm-GeneralStore-2693,Others
TNB lctrcty Bll343,Bills & Utilities
Croma Retail txn65478,Shopping
iocout ord5884,Fuel
forhos ord5767,Health & Medical
1mg Medicines txn1845,Health & Medical
Starbucsk#552,Food & Dining
bpcpum ord7845,Fuel
gpay-RapidoBikeTaxi-5034,Travel
Myntra txn76886,Shopping
KFC553,Food & Dining
IndianOil Fuel Station txn39684,Fuel
pAolloPharmacy#723,Health & Medical
1mgmed ord7510,Health & Medical
jiogro ord5981,Groceries
BkMyShw189,Entertainment
rtl Rchrg703,Bills & Utilities
Prkng F387,Others
LocalVendoruPrchase#843,Others
phonepe-HPPetrolPump-5090,Fuel
ord#carwashservice7797,Services
RedBus txn18051,Travel
Cash Withdrawal txn5627,Others
Uber Rides txn81216,Travel
TtClq63,Shopping
phonepe-MedPlus-3372,Health & Medical
Hs Clnng Srvc402,Services
Dsh TV Rchrg704,Bills & Utilities
Prkng F592,Others
phonepe-HouseCleaningService-8562,Services
pos id#waterboardpayment1583,Bills & Utilities
phonepe-FortisHospital-1313,Health & Medical
RCTC926,Travel
mak ord5955,Travel
Strbcks85,Food & Dining
CashiWthdrawal#123,Others
C Rpr Srvc694,Services
GeenralStore#369,Others
gpay-SalonService-6235,Services
mastercard *flipkart6385,Shopping
CashWitdhrawal#155,Others
WaterBoardPamyent#281,Bills & Utilities
Spotfiy#262,Entertainment
VaasnEyeCare#554,Health & Medical
ama ord7486,Shopping
MakMeyTrip#515,Travel
paytm bpclpump6723,Fuel
Gs Cylndr Bkng880,Bills & Utilities
ord#tnebelectricitybill6682,Bills & Utilities
pos id#cromaretail3173,Shopping
HP Petrol Pump txn51374,Fuel
gpay waterboardpayment1473,Bills & Utilities
gpay-DishTVRecharge-477,Bills & Utilities
HPPetrolPmup#720,Fuel
HPPetorlPump#120,Fuel
barnat ord6326,Food & Dining
paytm-ParkingFee-3652,Others
phonepe-PharmEasy-1865,Health & Medical
chapoi ord7461,Food & Dining
paytm 1mgmedicines740,Health & Medical
iocout ord5027,Fuel
deb card fortishospital4356,Health & Medical
lOaCabs#680,Travel
ChaiPoitn#576,Food & Dining
paytm-StarBazaar-1521,Groceries
payment to starbazaar7832,Groceries
mastercard *urbancompany116,Services
payment to airindia7952,Travel
ref no#airindia6038,Travel
paytm-CarWashService-8170,Services
Shll Fl Cntr638,Fuel
ApollohParmacy#595,Health & Medical
tat ord9676,Shopping
MdPls416,Health & Medical
Zmt13,Food & Dining
tSarbucks#629,Food & Dining
IndianOil Fuel Station txn51026,Fuel
spo ord6485,Entertainment
paytm-ACRepairService-2302,Services
visa *hotstarpremium1626,Entertainment
Msc Pymnt19,Others
RaipdoBikeTaxi#908,Travel
Salon Service txn20902,Services
More Supermarket txn85656,Groceries
IndianOil Fuel Station txn93225,Fuel
SalonSevrice#784,Services
spo ord8000,Entertainment
gpay-MakeMyTrip-1966,Travel
pos id#myntra6884,Shopping
Ch Pnt749,Food & Dining
paytm-VasanEyeCare-2763,Health & Medical
Gnrl Str979,Others
phonepe-Domino'sPizza-7107,Food & Dining
mastercard *moresupermarket5690,Groceries
Dsh TV Rchrg366,Bills & Utilities
SnoyLiv#345,Entertainment
Dcthln644,Shopping
boo ord7097,Entertainment
myn ord3071,Shopping
phonepe sonyliv7482,Entertainment
iMscPayment#606,Others
paytm-Decathlon-3978,Shopping
phonepe-Flipkart-2576,Shopping
ShellFuelCenter#155,Fuel
UrbanComapny#861,Services
Lcl Vndr Prchs241,Others
Dcthln865,Shopping
IndiGoAirlnies#527,Travel
OlaaCbs#283,Travel
ord#cromaretail5295,Shopping
Reliance Fresh txn53205,Groceries
aji ord6289,Shopping
trf#waterboardpayment4063,Bills & Utilities
phonepe amazon653,Shopping
1mg Mdcns719,Health & Medical
ndG rlns798,Travel
paytm-BookMyShow-5039,Entertainment
Car Wash Service txn35172,Services
JivAayurveda#554,Health & Medical
Flipkart txn16517,Shopping
r nd414,Travel
jivayu ord6540,Health & Medical
mak ord4541,Travel
BookMyShow txn4033,Entertainment
gpay-Spencer's-4973,Groceries
BPCL Pump txn85926,Fuel
BPCL Pump txn43616,Fuel
phonepe tnebelectricitybill628,Bills & Utilities
MedPlus txn42059,Health & Medical
CashWithdraawl#754,Others
paytm-Spotify-1957,Entertainment
mcd ord4713,Food & Dining
1mg Medicines txn72423,Health & Medical
Dsh TV Rchrg201,Bills & Utilities
pha ord6133,Health & Medical
fli ord9303,Shopping
MdPls321,Health & Medical
lFipkart#848,Shopping
Zmt456,Food & Dining
WateroBardPayment#122,Bills & Utilities
barnat ord1292,Food & Dining
gpay-VasanEyeCare-4150,Health & Medical
nyk ord3162,Shopping
Rapido Bike Taxi txn18837,Travel
gpay-MakeMyTrip-1082,Travel
Msc Pymnt367,Others
HottsarPremium#848,Entertainment
Cr Wsh Srvc635,Services
C Rpr Srvc620,Services
olacab ord7490,Travel
paytm-HouseCleaningService-4871,Services
Water Board Payment txn1011,Bills & Utilities
phonepe-Flipkart-5219,Shopping
inomov ord9831,Entertainment
General Store txn5613,Others
imps inoxmovies757,Entertainment
Air India txn85679,Travel
SoynLiv#158,Entertainment
pos id#jiofiberbill9822,Bills & Utilities
apopha ord6566,Health & Medical
Nykaa txn18991,Shopping
phonepe-MiscPayment-9282,Others
Brbq Ntn476,Food & Dining
Myntr647,Shopping
spe ord8610,Groceries
Decathlon txn36728,Shopping
phonepe-HouseCleaningService-1194,Services
ord#urbancompany4477,Services
Car Wash Service txn68740,Services
GenerlaStore#183,Others
imps barbequenation7565,Food & Dining
uberid ord2272,Travel
olacab ord5919,Travel
paytm-GeneralStore-5688,Others
1mgMediicnes#845,Health & Medical
paytm-SalonService-4053,Services
payment to bigbazaar275,Groceries
D-Mart txn44947,Groceries
paytm-VasanEyeCare-8692,Health & Medical
phonepe-TNEBElectricityBill-127,Bills & Utilities
INOX Movies txn10807,Entertainment
PhamrEasy#875,Health & Medical
J Fbr Bll719,Bills & Utilities
SatrBazaar#640,Groceries
paytm-INOXMovies-7420,Entertainment
chapoi ord9018,Food & Dining
Spencer's txn22542,Groceries
Swggy151,Food & Dining
visa *spencer's7850,Groceries
J Fbr Bll633,Bills & Utilities
Rlnc Frsh61,Groceries
Flikpart#841,Shopping
Soptify#913,Entertainment
bpcpum ord1046,Fuel
PharEmasy#503,Health & Medical
Nykaa txn8871,Shopping
tat ord6259,Shopping
Big Bazaar txn59972,Groceries
mastercard *hppetrolpump7202,Fuel
Gnrl Str682,Others
phonepe-HouseCleaningService-1921,Services
received from bpclpump4823,Fuel
IOCL Outlet txn96417,Fuel
ndnl Fl Sttn549,Fuel
indfuest ord5421,Fuel
airrec ord8601,Bills & Utilities
received from indianoilfuelstation8031,Fuel
phonepe-JioMartGrocery-1660,Groceries
JivAayurveda#996,Health & Medical
BPCPLump#370,Fuel
imps miscpayment3710,Others
Gas Cylinder Booking txn14305,Bills & Utilities
Car Wash Service txn10902,Services
Parking Fee txn13321,Others
Dcthln365,Shopping
TataCliq txn34774,Shopping
HP Ptrl Pmp292,Fuel
D-Mrt524,Groceries
parfee ord3353,Others
Croma Retail txn68922,Shopping
Dcthln796,Shopping
C Rpr Srvc309,Services
MedPlus txn33415,Health & Medical
JioFiberBill#826,Bills & Utilities
indfuest ord8562,Fuel
dec ord9019,Shopping
Htstr Prmm990,Entertainment
received from olacabs3278,Travel
Fortis Hospital txn46908,Health & Medical
gpay-MoreSupermarket-2088,Groceries
RdBs645,Travel
gpay-IOCLOutlet-7836,Fuel
big ord1678,Groceries
Htstr Prmm610,Entertainment
Mynrta#521,Shopping
Dsh TV Rchrg356,Bills & Utilities
inomov ord8196,Entertainment
CromaeRtail#718,Shopping
Zmt453,Food & Dining
mastercard *kfc4791,Food & Dining
iocout ord1844,Fuel
uberid ord439,Travel
HP Petrol Pump txn86638,Fuel
lctrcn Srvcs342,Services
PharmEsay#820,Health & Medical
phonepe-HotstarPremium-2142,Entertainment
caswit ord262,Others
mak ord4636,Travel
BPCL Pmp730,Fuel
dec ord8347,Shopping
acrepser ord1640,Services
Spencer's txn43030,Groceries
paytm-CashWithdrawal-7883,Others
upi txn vasaneyecare355,Health & Medical
paytm-BPCLPump-9919,Fuel
olacab ord7756,Travel
phonepe-IRCTC-7344,Travel
paytm-SalonService-9551,Services
Gnrl Str664,Others
UrbanComapny#335,Services
ndG rlns670,Travel
caswit ord8979,Others
Shell Fuel Centre txn22860,Fuel
phonepe-JivaAyurveda-968,Health & Medical
PVR Cnms943,Entertainment
Water Board Payment txn46688,Bills & Utilities
phonepe-JioMartGrocery-6959,Groceries
phonepe-HotstarPremium-5563,Entertainment
sta ord9698,Food & Dining
tat ord8842,Shopping
Jiva Ayurveda txn3716,Health & Medical
gpay-OlaCabs-8121,Travel
gpay-CromaRetail-4880,Shopping
Nkyaa#821,Shopping
visa *airindia5865,Travel
phonepe-RapidoBikeTaxi-4157,Travel
paytm chaipoint2656,Food & Dining
MkMyTrp536,Travel
card *flipkart6250,Shopping
iMscPayment#226,Others
Crm Rtl546,Shopping
paytm hotstarpremium9244,Entertainment
BrugerKing#691,Food & Dining
deb card salonservice1791,Services
RdBs111,Travel
airind ord8097,Travel
Csh Wthdrwl949,Others
gpay-Myntra-5301,Shopping
Shell Fuel Centre txn2166,Fuel
lctrcn Srvcs355,Services
imps jiomartgrocery4581,Groceries
Myntr388,Shopping
1mg Medicines txn80691,Health & Medical
phonepe-BPCLPump-9985,Fuel
Air India txn85078,Travel
netsub ord1596,Entertainment
Swiggy txn35335,Food & Dining
phonepe-HPPetrolPump-7834,Fuel
ref no#bpclpump7998,Fuel
Myntra txn27517,Shopping
phonepe-RedBus-5603,Travel
